store_code,no_of_subway_station,no_of_department_store,no_of_embassy,no_of_beauty_salon,no_of_police,no_of_courthouse,no_of_cemetery,no_of_pharmacy,no_of_local_government_office,no_of_shopping_mall,no_of_city_hall,no_of_rv_park,no_of_shoe_store,no_of_bank,no_of_bowling_alley,no_of_bar,no_of_university,no_of_car_dealer,no_of_movie_theater,no_of_taxi_stand,no_of_jewelry_store,no_of_church,no_of_convenience_store,no_of_campground,no_of_lawyer,no_of_parking,no_of_post_office,no_of_hindu_temple,no_of_hardware_store,no_of_meal_takeaway,no_of_movie_rental,no_of_gas_station,no_of_funeral_home,no_of_aquarium,no_of_restaurant,no_of_home_goods_store,no_of_casino,no_of_veterinary_care,no_of_airport,no_of_bus_station,no_of_museum,no_of_night_club,no_of_electrician,no_of_mosque,no_of_amusement_park,no_of_lodging,no_of_florist,no_of_liquor_store,no_of_hospital,no_of_car_rental,no_of_stadium,no_of_store,no_of_hair_care,no_of_transit_station,no_of_meal_delivery,no_of_gym,no_of_park,no_of_dentist,no_of_library,no_of_book_store,no_of_painter,no_of_roofing_contractor,no_of_moving_company,no_of_clothing_store,no_of_furniture_store,no_of_physiotherapist,no_of_atm,no_of_art_gallery,no_of_car_wash,no_of_locksmith,no_of_spa,no_of_accounting,no_of_cafe,no_of_car_repair,no_of_synagogue,no_of_real_estate_agency,no_of_electronics_store,no_of_doctor,no_of_bicycle_store,no_of_storage,no_of_zoo,no_of_train_station,no_of_fire_station,no_of_laundry,no_of_insurance_agency,no_of_plumber,no_of_pet_store,no_of_bakery,no_of_travel_agency,avg_rating_of_subway_station,avg_rating_of_department_store,avg_rating_of_embassy,avg_rating_of_beauty_salon,avg_rating_of_police,avg_rating_of_courthouse,avg_rating_of_cemetery,avg_rating_of_pharmacy,avg_rating_of_local_government_office,avg_rating_of_shopping_mall,avg_rating_of_city_hall,avg_rating_of_rv_park,avg_rating_of_shoe_store,avg_rating_of_bank,avg_rating_of_bowling_alley,avg_rating_of_bar,avg_rating_of_university,avg_rating_of_car_dealer,avg_rating_of_movie_theater,avg_rating_of_taxi_stand,avg_rating_of_jewelry_store,avg_rating_of_church,avg_rating_of_convenience_store,avg_rating_of_campground,avg_rating_of_lawyer,avg_rating_of_parking,avg_rating_of_post_office,avg_rating_of_hindu_temple,avg_rating_of_hardware_store,avg_rating_of_meal_takeaway,avg_rating_of_movie_rental,avg_rating_of_gas_station,avg_rating_of_funeral_home,avg_rating_of_aquarium,avg_rating_of_restaurant,avg_rating_of_home_goods_store,avg_rating_of_casino,avg_rating_of_veterinary_care,avg_rating_of_airport,avg_rating_of_bus_station,avg_rating_of_museum,avg_rating_of_night_club,avg_rating_of_electrician,avg_rating_of_mosque,avg_rating_of_amusement_park,avg_rating_of_lodging,avg_rating_of_florist,avg_rating_of_liquor_store,avg_rating_of_hospital,avg_rating_of_car_rental,avg_rating_of_stadium,avg_rating_of_store,avg_rating_of_hair_care,avg_rating_of_transit_station,avg_rating_of_meal_delivery,avg_rating_of_gym,avg_rating_of_park,avg_rating_of_dentist,avg_rating_of_library,avg_rating_of_book_store,avg_rating_of_painter,avg_rating_of_roofing_contractor,avg_rating_of_moving_company,avg_rating_of_clothing_store,avg_rating_of_furniture_store,avg_rating_of_physiotherapist,avg_rating_of_atm,avg_rating_of_art_gallery,avg_rating_of_car_wash,avg_rating_of_locksmith,avg_rating_of_spa,avg_rating_of_accounting,avg_rating_of_cafe,avg_rating_of_car_repair,avg_rating_of_synagogue,avg_rating_of_real_estate_agency,avg_rating_of_electronics_store,avg_rating_of_doctor,avg_rating_of_bicycle_store,avg_rating_of_storage,avg_rating_of_zoo,avg_rating_of_train_station,avg_rating_of_fire_station,avg_rating_of_laundry,avg_rating_of_insurance_agency,avg_rating_of_plumber,avg_rating_of_pet_store,avg_rating_of_bakery,avg_rating_of_travel_agency,near_by_post_code,no_of_near_by_shops
10055,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,4,0,0,17,7,0,1,0,2,0,0,2,0,0,0,1,1,1,0,0,31,6,2,0,3,0,3,0,0,2,0,1,3,6,6,1,1,0,0,1,3,6,2,0,7,4,20,1,1,0,0,0,1,2,0,0,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9333333333333336,0.0,0.0,0.0,0,0.0,4.2,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0,4.65,0.0,0.0,1.25,0.0,0.0,2.6470588235294112,2.6142857142857143,0.0,5.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.232258064516129,2.3000000000000003,1.5,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.3333333333333335,2.3833333333333333,0.8333333333333334,3.1,0.0,0.0,0.0,5.0,0.0,3.1,0.0,0.0,0.7142857142857143,1.0,1.3,3.8,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.0333333333333337,0.0,2,2
10077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333336,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,2,2
10079,0,1,0,4,0,1,0,3,1,1,0,0,4,1,0,4,0,0,1,0,4,0,0,0,0,1,1,0,0,2,0,0,0,0,15,3,0,0,0,4,1,2,3,0,0,0,1,0,0,0,0,53,9,4,0,1,1,12,0,1,0,0,0,11,0,1,3,0,0,1,1,1,4,2,0,3,2,13,1,0,0,0,0,2,2,0,0,3,2,0.0,4.0,0.0,3.5,0.0,0.0,0.0,2.5,0.0,4.0,0.0,0,1.0,4.5,0.0,4.25,0.0,0.0,4.3,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0.0,2.26,2.9333333333333336,0.0,0.0,0.0,0.0,0.0,3.9,1.6666666666666667,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.939622641509434,3.3666666666666667,0.0,0.0,4.5,2.0,1.5166666666666666,0.0,4.8,0.0,0.0,0.0,2.4727272727272727,0.0,5.0,1.5,0.0,0.0,1.0,0.0,0.0,2.7249999999999996,4.55,0.0,0.6666666666666666,4.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.85,3,2
10086,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.05,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8666666666666667,5.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.3,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.125,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,2
10377,0,2,1,14,0,0,1,5,3,3,0,0,23,29,0,27,1,0,4,0,50,3,0,0,27,2,0,0,0,4,0,1,2,0,60,14,0,0,0,1,8,11,0,0,0,6,3,2,3,1,0,60,11,2,0,3,1,8,2,3,1,0,0,60,5,4,4,18,0,1,3,2,12,0,0,60,3,12,1,0,0,0,0,0,0,0,0,12,14,0.0,4.35,0.0,2.8642857142857143,0.0,0.0,5.0,2.56,2.466666666666667,1.2666666666666666,0.0,0,3.3347826086956522,1.4172413793103449,0.0,3.518518518518518,0.0,0.0,2.05,0.0,2.6779999999999995,1.4666666666666668,0.0,0.0,0.35185185185185186,2.1,0.0,0,0.0,2.6500000000000004,0.0,0.0,3.0,0.0,3.230000000000001,3.8214285714285707,0.0,0.0,0.0,0.0,3.0,3.563636363636364,0.0,0.0,0.0,2.1,1.1666666666666667,2.0,4.6000000000000005,0.0,0.0,3.3249999999999997,3.1545454545454548,2.35,0.0,3.9666666666666663,5.0,1.175,2.35,3.8000000000000003,0.0,0.0,0.0,1.9566666666666666,3.9200000000000004,0.0,2.3,2.227777777777778,0.0,3.0,2.1666666666666665,1.25,3.366666666666666,0.0,0.0,0.59,2.8000000000000003,2.408333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7833333333333332,1.0142857142857142,8,9
10441,0,1,0,16,0,0,0,5,6,3,0,0,10,3,1,12,2,2,3,0,6,4,0,0,4,3,2,0,0,9,0,0,4,0,37,5,0,0,0,6,3,3,1,0,0,3,0,1,8,0,0,60,25,7,1,5,0,5,3,3,1,0,0,35,3,5,1,3,1,3,6,1,8,6,0,15,3,28,0,0,0,1,1,2,3,0,1,6,9,0.0,4.0,0.0,1.925,0.0,0.0,0.0,2.8,2.2333333333333334,3.0666666666666664,0.0,0,3.34,0.3333333333333333,4.1,3.5583333333333336,0.0,4.4,4.266666666666667,0.0,3.0833333333333335,2.5,0.0,0.0,1.25,4.166666666666667,0.0,0,0.0,2.9666666666666663,0.0,0.0,3.75,0.0,3.467567567567568,3.5,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,3.966666666666667,0.0,0.0,0.0,1.4000000000000001,0.0,4.5,0.7875,0.0,0.0,3.153333333333334,2.404,1.8571428571428572,5.0,2.6399999999999997,0.0,0.96,1.3,4.933333333333334,0.0,0.0,0.0,2.4028571428571426,3.0,0.2,5.0,1.6666666666666667,2.8,1.6666666666666667,1.6666666666666667,0.0,3.0375,3.0500000000000003,0.0,0.3333333333333333,2.966666666666667,0.9214285714285715,0.0,0.0,0.0,5.0,5.0,0.5,3.233333333333333,0.0,3.0,0.5833333333333334,2.7333333333333334,8,11
10545,0,0,0,7,1,0,0,4,1,0,0,0,2,4,0,1,0,0,0,0,2,1,0,0,6,5,2,0,0,4,0,0,0,0,31,6,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,53,11,4,0,5,1,16,0,0,1,0,0,7,4,6,2,0,0,0,2,1,7,1,0,21,4,35,0,0,0,1,0,0,2,0,0,4,3,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,3.325,0.0,0.0,0.0,0,2.5,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0,0.0,4.15,0.0,0.0,0.0,0.0,2.9419354838709673,2.85,0.0,0.0,0.0,3.533333333333333,0.0,0.0,1.15,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,2.5849056603773586,2.090909090909091,3.6999999999999997,0.0,1.98,4.5,0.9375,0.0,0.0,0.0,0.0,0.0,2.4714285714285715,2.375,0.0,1.5,0.0,0.0,0.0,2.5,0.0,2.585714285714286,0.0,0.0,0.5476190476190477,1.9,0.6142857142857143,0.0,0.0,0.0,4.2,0.0,0.0,2.5,0.0,0.0,3.2249999999999996,1.6666666666666667,3,5
10548,0,0,0,7,0,0,0,3,1,0,0,0,2,4,0,1,0,0,0,0,3,0,0,0,4,3,2,0,0,4,0,0,0,0,31,3,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,51,13,2,0,5,1,16,0,0,2,0,0,6,1,4,2,0,0,0,2,1,9,1,0,23,3,35,0,0,0,0,0,0,3,0,0,5,3,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,3.3333333333333335,2.6,0.0,0.0,0,2.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,2.4,0,0.0,4.1499999999999995,0.0,0.0,0.0,0.0,2.996774193548387,4.033333333333333,0.0,0.0,0.0,3.25,0.0,0.0,1.5333333333333332,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,2.8215686274509806,2.1538461538461537,3.25,0.0,1.98,4.5,0.9375,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,4.5,1.25,1.5,0.0,0.0,0.0,2.5,0.0,3.122222222222222,0.0,0.0,0.5,2.533333333333333,0.6142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,2.58,1.6666666666666667,3,5
10672,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,19,1,2,0,0,0,3,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,3,0,6,0,0,0,1,0,0,1,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,3.8,0.0,0.0,0.0,0.0,4.2,4.85,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,5.0,0.0,0.0,0.0,0.0,2.831578947368421,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,4.7,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.325,0.0,1,1
